Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,VeteransCommittee,NegroLeagues,position,1B,RF,LF,CF,C,3B,2B,SS,DH,OF,AS.total,AS.percent,drugs,gold1,gold2,gold3,mvp1,mvp2,cy1,cy2,rookie,oneteam,Year,Votes,NumBallots
Tim Salmon,34,32,14,37.1,29.4,33.3,55.4,1672,5934,986,1674,299,1016,48,970,0.282,0.385,0.498,0.884,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D/78,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,5,573
Bill Mueller,16,23,11,21.8,18.3,20.1,53.4,1216,4223,663,1229,85,493,20,543,0.291,0.373,0.425,0.797,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*54/D6,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,4,573
Brad Radke,13,15,12,42.3,34.2,38.2,57.9,378,29,0,3,0,0,0,0,0.103,0.103,0.103,0.207,-46,148,139,4.22,113,1.26,378,377,0,2451,2643,326,445,1467,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,2012,2,573
Javy Lopez,66,34,15,27.2,23.4,25.3,40.7,1503,5319,674,1527,260,864,8,357,0.287,0.337,0.491,0.828,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D/3,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,2012,1,573
Eric Young,19,25,15,16.7,15,15.8,54.4,1730,6119,996,1731,79,543,465,660,0.283,0.359,0.39,0.749,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*47/D8695,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,1,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,2012,1,573
Terry Mulholland,14,9,20,8.4,12.5,10.5,32.3,687,619,26,69,2,23,1,13,0.111,0.131,0.145,0.276,-25,124,142,4.41,93,1.364,685,332,5,2575.2,2833,293,681,1325,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,2012,0,573
Tony Womack,27,17,13,0.5,5.8,3.2,54.4,1303,4963,739,1353,36,368,363,308,0.273,0.317,0.356,0.673,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4*6987/D,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,2012,0,573
Phil Nevin,23,19,12,14,17.8,15.9,53.4,1217,4188,584,1131,208,743,18,449,0.27,0.343,0.472,0.814,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*3D279,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,1,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,2012,0,573
Brian Jordan,24,17,15,30.8,28.8,29.8,55.4,1456,5160,755,1454,184,821,119,353,0.282,0.333,0.455,0.788,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*978/3D5,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,1,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,2012,0,573
Ruben Sierra,58,28,20,13,18,15.5,55.4,2186,8044,1084,2152,306,1322,142,610,0.268,0.315,0.45,0.765,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D78,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,2012,0,573
Jeromy Burnitz,34,23,14,17.4,17.2,17.3,55.4,1694,5710,917,1447,315,981,74,739,0.253,0.345,0.481,0.826,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*987/D,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,1,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,2012,0,573
