Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Andruw Jones,2006,,0,,,,,,,,,,,,,,,,
Andruw Jones,2005,,1,2,1,2,1,0,0,1,2,0,0,1,0,1,1,4,5
Andruw Jones,2003,,1,2,2,2,2,1,0,1,3,0,0,0,0,1,1,3,4
Andruw Jones,2002,,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Andruw Jones,2000,,1,2,2,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1
Andy Ashby,1999,,1,,,,,,,,,,,,,,,,
Andy Ashby,1998,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Andy Benes,1993,,1,,,,,,,,,,,,,,,,
Andy Etchebarren,1967,,0,,,,,,,,,,,,,,,,
Andy Etchebarren,1966,,0,,,,,,,,,,,,,,,,
Andy Messersmith,1976,,0,,,,,,,,,,,,,,,,
Andy Messersmith,1975,,0,,,,,,,,,,,,,,,,
Andy Messersmith,1974,as P,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Andy Messersmith,1971,,0,,,,,,,,,,,,,,,,
Andy Pafko,1950,,1,4,4,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Andy Pafko,1949,,1,3,2,0,1,0,0,0,0,0,0,1,1,0.5,0.667,0.5,1.167
Andy Pafko,1948,as 3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Pafko,1947,,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Andy Pafko,1945,,0,,,,,,,,,,,,,,,,
Andy Pettitte,2010,,1,,,,,,,,,,,,,,,,
Andy Pettitte,2001,,1,,,,,,,,,,,,,,,,
Andy Pettitte,1996,,0,,,,,,,,,,,,,,,,
Andy Seminick,1949,as C,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5
Andy Van Slyke,1993,,0,,,,,,,,,,,,,,,,
Andy Van Slyke,1992,as CF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Van Slyke,1988,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramis Ramirez,2008,,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,,
Aramis Ramirez,2005,as 3B,1,3,2,0,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167
Arky Vaughan,1942,as 3B,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333
